X,Y,OBJECTID,County,Name,Type,Address,ppLocationHours,OpenDaysBeforeElection,IsOpenBeforeElection,Description,Lat,Long
1973574.80577247,547208.297761649,1,Adams,Adams County Public Services Building Drop Box,Drop Box,"425 E Main St, Othello, WA 99344",NULL,20,1,"24-hour, convenient, safe, secure ballot drop box located just outside the front door. ",46.8262,-119.169
1974317.32298823,546173.656786308,2,Adams,Othello High School,Voting Center,"340 S 7th Ave, Othello, WA 99344",8:00 am to 8:00 pm,NULL,0,Staff is only there on Election Day from 8:00 am to 8:00 pm ,46.823329,-119.166104
2168313.81393147,661673.998291731,3,Adams,Ritzville City Hall,Drop Box,"216 E. Main Ave, Ritzville, WA 99169",,20,1,,47.1283,-118.379
2110453.54448164,603072.067267478,4,Adams,Town of Lind - Town Clerk,Drop Box,"116 1/2 W. 2nd St., Lind, WA 99341",,20,1,,46.9717,-118.617
2188522.84995689,525592.781937644,5,Adams,Town of Washtucna City Hall,Drop Box,"165 S Main St, Washtucna , WA 99371",,20,1,,46.7538,-118.313
2509968.60732655,386187.744475305,6,Asotin,Asotin County Auditor's Office,Voting Center,"135 Second St. , Asotin, WA 99402",NULL,20,1,,46.3403,-117.056
2510470.06498505,386282.661936387,7,Asotin,Asotin County Courthouse Drop Box,Drop Box,"135 Second St., Asotin, WA 99402",NULL,19,1,,46.3405,-117.054
2511819.26701106,413170.234473482,8,Asotin,Clarkston City Hall,Drop Box,"829 5th Street, Clarkston, WA 99403",NULL,19,1,located in the alley behind Clarkston City Hall,46.414,-117.044
2502838.82860714,404857.852476224,9,Asotin,Lincoln Middle School,Drop Box,"1945 4th Ave, Clarkston, WA 99403",NULL,19,1,located behind Lincoln Middle School,46.3923,-117.081
1949136.4917883,331337.633047149,10,Benton,Badger Mt Community Park,Drop Box,"350 Keene Rd, Richland, WA 99352",NULL,20,0,Drive up Box  ,46.235405,-119.279957
1896357.65968214,341456.941220567,11,Benton,Benton City Hall,Drop Box,"1009 Dale Ave, Benton City, WA 99320",NULL,18,1,Benton City City Hall Drop Box ,46.2652,-119.488
1964079.10888463,331775.693850815,12,Benton,Benton County Vote Center,Drop Box,"2610 N Columbia Center Blvd, Richland, WA 99352",NULL,22,0,Large box located at the far end of the parking lot. ,46.235957,-119.220886
1963805.69702989,332046.615881145,13,Benton,Benton County Vote Center - Inside,Voting Center,"2610 N Columbia Center Blvd, Richland, WA 99352",8:00am to 5:00pm Monday through Friday.  8:00am to 8:00pm on Election Night. ,22,0,Drop Box is located inside the Benton County Voter Center.  ,46.236712,-119.221949
1950334.8476593,351230.771410391,14,Benton,Jefferson Park,Drop Box,"100 Symons St, Richland, WA 99354",NULL,20,1,Jefferson Park Drive Thru Drop Box At the corner of George Washington Way and Symons St,46.2899,-119.274
1970704.30232714,327304.585667059,15,Benton,Kennewick Auditor's Annex,Drop Box,"5600 W Canal Dr, Kennewick, WA 99336",NULL,20,1,,46.2234,-119.195
1989552.32368614,320695.770144567,16,Benton,Kennewick City Hall,Drop Box,"210 W 6th Ave, Kennewick, WA 99336",,20,1,Kennewick City Hall Drive Thru Drop Box ,46.2044,-119.121
1824996.25909814,318204.984115645,17,Benton,Prosser Auditor's Office,Voting Center,"620 Market St, Prosser, WA 99350",NULL,20,1,,46.2036,-119.771
1926103.67893013,348461.827801302,18,Benton,West Richland City Shops,Drop Box,"3100 Belmont Blvd, West Richland, WA 99353",NULL,20,1,City public works shop by the new elementary school. Drive Up.  ,46.2833,-119.37
1934119.48802972,353397.438664973,19,Benton,West Richland Library,Drop Box,"3803 W. Van Giesen, West Richland, WA 99353",NULL,20,1,West Richland City Hall Drop Box ,46.296514,-119.338011
1952886.51151922,365858.865185648,20,Benton,WSU Tri-Cities,Drop Box,"2710 Crimson Way, Richland, WA 99354",NULL,20,1,"Located in the student parking lot, in front of the Consolidated Information Center.  WSU will host a temporary staffed Elections Center on the following dates:   10/29 8:30 am – 4:30 pm  10/30 8:30 am – 4:30 pm  10/31 9:00 am- 2:00 pm  11/2 8:30 am– 4:30 pm  11/3 8:30 am – 8:00 pm",46.3299,-119.263
1648327.46086164,797889.373170137,21,Chelan,Cashmere City Hall,Drop Box,"101 Woodring St, Cashmere, WA 98815",,18,1,Drop box behind City Hall ,47.5212,-120.468
1758809.07388747,915026.102478892,22,Chelan,Chelan City Hall,Drop Box,"135 East Johnson Ave, Chelan, WA 98816",,18,1,Drop box behing building ,47.8413,-120.018
1686218.91460614,761755.719387725,23,Chelan,Chelan County Auditor - Elections,Voting Center,"350 Orondo Ave, Level 3, Wenatchee, WA 98801",9:00am to 5:00pm Monday - Friday  9:00am to 8:00pm  on Election Day,18,1,Drop box is located between the Law & Justice building and the Courthouse or visit our office on Level 3.,47.422,-120.315
1712118.54161255,854454.197704315,24,Chelan,Entiat City Hall,Drop Box,"14070 Kinzel St, Entiat, WA 98822",,18,1,Drop box in parking lot ,47.6759,-120.209
1599951.82926664,825033.761138469,25,Chelan,Leavenworth City Hall,Drop Box,"700 Hwy 2, Leavenworth, WA 98826",,18,1,Drop box in parking lot ,47.5955,-120.664
1686465.35669856,762230.498621896,26,Chelan,Wenatchee Public Library,Drop Box,"310 Douglas St, Wenatchee, WA 98801",,18,1,Drop Box located by library book drop ,47.4233,-120.314
924065.341803476,1027890.90857297,27,Clallam,All Drop Boxes,Drop Box,"223 E 4th St, Port Angeles, WA 98362",NULL,NULL,0,This is a consolidation of all boxes for reporting. ,48.11512,-123.432291
724239.153202057,1086256.66520081,28,Clallam,CB - Clallam Bay Drop Box,Drop Box,"16990 Hwy 112, Clallam Bay, WA 98326",NULL,20,1,Located in front of the Clallam Bay Branch Library. ,48.2516941,-124.2605305
923902.794884473,1028181.77708572,29,Clallam,Clallam County Courthouse - Auditor's Office - Voter Service Center,Voting Center,"223 E 4th St, Port Angeles, WA 98362","Office hours are 8:00 a.m. - 4:30 p.m., Monday through Friday.  On Election Day we are open 8:00 a.m. - 8:00 p.m.",-1,1,"The Auditor's Office can help with replacement ballots, voter registration and address changes.  ",48.1159,-123.433
988165.877644137,1012608.46046339,30,Clallam,CV - Carlsborg Ballot Drop Box,Drop Box,"261461 US-101, Carlsborg, WA 98382",NULL,20,1,"Located next to Sunny Farms, in the far east parking lot behind Flippers. ",48.0795,-123.168
690239.503353715,977832.69044815,31,Clallam,FW - Forks Drop Box,Drop Box,"500 E Division St, Forks, WA 98331",NULL,20,1,"Located outside Forks City Hall, to the right of the front entrance. ",47.9504,-124.378
641820.340349719,1131956.30575673,32,Clallam,NB - Neah Bay Drop Box,Drop Box,"1450 Bayview Ave, Neah Bay, WA 98357",NULL,20,1,Located in front of Washburn's General Store by the left Totem Pole. ,48.3655,-124.608
923902.794884473,1028181.77708572,33,Clallam,PO - Port Angeles - inside the Courthouse,Drop Box,"223 E 4th St, Port Angeles, WA 98362",NULL,20,1,Located in the Clallam County Auditor's Office lobby. ,48.1159,-123.433
923893.299168557,1027926.52070647,34,Clallam,PV - Port Angeles - Drive-Thru Drop Box,Drop Box,"223 E 4th St, Port Angeles, WA 98362",NULL,20,1,"Located at the Courthouse, circular drive off 4th Street. ",48.1152,-123.433
924138.841000304,1027953.90319765,35,Clallam,PW - Port Angeles - Walk-up Drop Box,Drop Box,"223 E 4th St, Port Angeles, WA 98362",NULL,20,1,Located on the Courthouse sidewalk across from the disabled parking. ,48.1153,-123.432
713037.047653556,1090771.45275915,36,Clallam,SB - Sekiu Ballot Drop Box,Drop Box,"15 Sekiu Airport Road, Sekiu, WA 98381",NULL,20,1,Located in the drive-through at the PUD. ,48.26257923,-124.3073332
1000619.70411439,1011899.0009243,37,Clallam,SV - Sequim Drop Box,Drop Box,"651 W Washington St, Sequim, WA 98382",NULL,20,1,Located in the parking lot in front of JC Penney. ,48.0787,-123.117
1083787.65195139,116518.72475931,38,Clark,14th & Esther Streets,Drop Box,"W 14th & Esther Streets, Vancouver, WA 98660",Open 24 hours until 8 p.m. on Election Day,18,1,24 Hour Ballot Drop Box 24 Hour Ballot Drop Box Open 18 days prior to each election,45.6318,-122.676
1145315.98000997,217604.383151889,39,Clark,Amboy Middle School,Drop Box,"22115 NE Chelatchie Road, Amboy, WA 98601",Open 24 hours until 8 p.m. on Election Day,18,0,24 Hour Ballot Drop Box 24 Hour Ballot Drop Box open 18 days prior to each election (located in west parking lot),45.9133185,-122.4453191
1120219.91209197,169534.231917053,40,Clark,Battle Ground City Hall,Drop Box,"109 SW 1st Street, Battle Ground, WA 98604",Open 24 hours until 8 p.m. on Election Day,18,1,24 Hour Ballot Drop Box 24 Hour Ballot Drop Box Open 18 days prior to each election (located in west parking lot),45.7798,-122.539
1116573.35901764,151821.977643475,41,Clark,Brush Prairie USPS,Drop Box,"12012 NE 150th Circle, Brush Prairie, WA 98606",Open 24 hours until 8 p.m. on Election Day,18,0,24 Hour Ballot Drop Box 24 Hour Ballot Drop Box open 18 days prior to each election (located as you drive into post office),45.7309851,-122.5514815
1152950.76460914,107914.251154646,42,Clark,Camas  - The Heights Learning Center,Drop Box,"4600 NE Garfield Street, Camas, WA 98607",Open 24 hours until 8 p.m. on Election Day,18,0,24 Hour Ballot Drop Box 24 Hour Ballot Drop Box open 18 days prior to each election (located in south parking lot),45.6131181,-122.4049265
1152955.28362897,98277.562422812,43,Clark,Camas Post Office Downtown,Drop Box,"440 NE 5th Avenue, Camas, WA 98607",Open 24 hours until 8 p.m. on Election Day,18,1,24 Hour Ballot Drop Box 24 Hour Ballot Drop Box Open 18 days prior to each election,45.5867,-122.404
1119689.86853264,112437.069536805,44,Clark,Cascade Park USPS,Drop Box,"13651 NE 4th Street, Vancouver, WA 98684",Open 24 hours until 8 p.m. on Election Day,18,0,24 Hour Ballot Drop Box 24 Hour Ballot Drop Box open 18 days prior to each election (located next to USPS mail boxes),45.623239,-122.5353031
1090280.22820506,117370.478633225,45,Clark,Clark College,Drop Box,"1933 Fort Vancouver Way, Vancouver, WA 98663",Open 24 hours until 8 p.m. Election Day,18,0,"24 Hour Ballot Drop Box 24 Hour Ballot Drop Box Open  18 days prior to each election (located between Hanna Hall and Penguin Building, near flag pole)",45.6346231,-122.6507225
1083532.91755272,116562.235827148,46,Clark,Clark County Elections,Voting Center,"1408 Franklin Street, Vancouver, WA 98660",Monday thru Friday 8 am to 5 pm ,18,1,Elections Office ELECTION DAY ONLY 7 am to 8 pm,45.6319,-122.677
1115076.14514856,134956.388671309,47,Clark,Clark Public Utilities Operations Center,Drop Box,"8600 NE 117th Avenue, Vancouver, WA 98662",Open 24 hours until 8 p.m. on Election Day,18,0,24 Hour Ballot Drop Box 24 Hour Ballot Drop Box open 18 days prior to each election (located in southeast parking lot),45.6846439,-122.5556213
1127174.83617422,101761.776911065,48,Clark,Fisher's Landing Transit Center,Drop Box,"3510 SE 164th Avenue, Vancouver, WA 98683",Open 24 hours until 8 p.m. on Election Day,18,1,24 Hour Ballot Drop Box 24 Hour Ballot Drop Box  Open 18 days prior to each election,45.5945,-122.505
1087456.74402264,138305.823901564,49,Clark,Hazel Dell - 99th Street C-Tran Transit Center,Drop Box,"9700 NE 7th Avenue, Vancouver , WA 98665",Open 24 hours until 8 p.m. on Election Day,18,1,24 Hour Ballot Drop Box 24 Hour Ballot Drop Box Open 18 days prior to each election (located between 94th and 99th streets),45.6918,-122.664
1132949.53361431,154412.174234733,50,Clark,Hockinson Community Center,Drop Box,"15916 NE 182nd Avenue, Brush Prairie, WA 98606",Open 24 hours until 8 p.m. on Election Day,18,0,24 Hour Ballot Drop Box 24 Hour Ballot Drop Box open 18 days prior to each election (parking lot),45.7392355,-122.4876325
1089943.71509856,200700.372668639,51,Clark,La Center,Drop Box,"1001 E. 4th Street, La Center, WA 98629",Open 24 hours until 8 p.m. on Election Day,18,0,24 Hour Ballot Drop Box 24 Hour Ballot Drop Box open 18 days prior to each election (west end of parking lot),45.8630262,-122.6609602
1128931.5829888,131583.328816399,52,Clark,Pioneer Elementary School - Frontier Middle Schooll,Drop Box,"7600 NE 166th Avenue, Vancouver, WA 98682",Open 24 hours until 8 p.m. on Election Day,18,0,24 Hour Ballot Drop Box (located in parking lot between the two schools) 24 Hour Ballot Drop Box Open  18 days prior to each election,45.6763741,-122.5010951
1083355.56095205,184055.236995727,53,Clark,Ridgefield,Drop Box,"End of North First Circle, Ridgefield, WA 98642",Open 24 hours until 8 p.m. on Election Day,18,1,"24 Hour Ballot Drop Box 24 Hour Ballot Drop Box Open 18 days prior to each election (Pioneer Street exit, east of I-5 at the end of North 1st Circle, in middle of cul-de-sac)",45.8169,-122.685
1077108.8480518,175056.351778314,54,Clark,Ridgefield School District Administrative Office,Drop Box,"510 Pioneer Street, Ridgefield, WA 98642",Open 24 Hours until 8 p.m. on Election Day,18,0,24 Hour Ballot Drop Box 24 Hour Ballot Drop Box Open  18 days prior to each election (walk-up only),45.791755,-122.708501
1134904.86270888,110051.351867303,55,Clark,Shahala Middle School,Drop Box,"601 SE 192nd Ave, Vancouver, WA 98683",Open 24 hours until 8 p.m. on Election Day,18,0,24 Hour Ballot Drop Box 24 Hour Ballot Drop Box Open 18 days prior to each election (located near flag pole),45.6177596,-122.4756262
1077367.75960746,144449.950064734,56,Clark,Thomas Jefferson Middle School,Drop Box,"3000 NW 119th Street, Vancouver, WA 98685",Open 24 hours until 8 p.m. on Election Day,18,0,24 Hour Ballot Drop Box (located in parking lot) 24 Hour Ballot Drop Box open 18 days prior to each election,45.7078764,-122.7041342
1107554.10244989,124887.254610136,57,Clark,Vancouver Mall,Drop Box,"8700 NE Vancouver Mall Dr, Vancouver, WA 98662",Open 24 hours until 8 p.m. on Election Day,18,1,24 Hour Ballot Drop Box 24 Hour Ballot Drop Box Open 18 days prior to each election (located southeast of Macy's near the C-Tran Vine Station),45.6565,-122.584
1165665.3540093,95298.2678564787,58,Clark,Washougal Library,Drop Box,"1661 C Street, Washougal, WA 98671",Open 24 hours until 8 p.m. on Election Day,18,0,24 Hour Ballot Drop Box 24 Hour Ballot Drop Box Open 18 days prior to each election (walk-up only),45.57936263,-122.3541005
1094552.30397847,151438.692320809,59,Clark,WSU Vancouver,Drop Box,"14204 NE Salmon Creek Ave, Vancouver, WA 98686",Open 24 hours until 8 p.m. on Election Day,18,0,"24 Hour Ballot Drop Box 24 Hour Ballot Drop Box open 18 days prior to each election (WSU Entrance Road entering from NE Salmon Creek Avenue, turn right at the first street into the south parking lot)",45.728331,-122.637638
1094366.40015081,152832.542879567,60,Clark,WSU Vancouver Student Engagement Center,Drop Box,"14204 NE Salmon Creek Avenue, Vancouver, WA 98686",Open from 7 a.m. until 8 p.m. on Election Day,0,0,Student Engagment Center - Firstenburg Student Commons area Location to receive online replacement ballots.,45.7321381,-122.6385136
1153542.13744214,200487.739891812,61,Clark,Yacolt Primary School,Drop Box,"507 W Yacolt Road, Yacolt, WA 98675",Open 24 hours until 8 p.m. on Election Day,18,0,24 Hour Ballot Drop Box 24 Hour Ballot Drop Box open 18 days prior to each election (located in south parking lot),45.866945,-122.411381
