STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,POPULATION,LATITUDE,LONGITUDE
53,001,950100,1,769,+47.167731,-118.492614
53,001,950100,2,1160,+47.123816,-118.373888
53,001,950100,3,650,+47.128901,-118.382564
53,001,950200,1,674,+46.974015,-118.596876
53,001,950200,2,677,+46.970679,-118.834134
53,001,950200,3,453,+46.812978,-118.273377
53,001,950301,1,1759,+46.790508,-119.114125
53,001,950302,1,2599,+46.831127,-119.212166
53,001,950303,1,1944,+46.793414,-119.196899
53,001,950303,2,1123,+46.790049,-119.255122
53,001,950400,1,1109,+46.827840,-119.158738
53,001,950400,2,1750,+46.829803,-119.169387
53,001,950500,1,3491,+46.818384,-119.158679
53,001,950500,2,2009,+46.816876,-119.169895
53,001,950500,3,446,+46.813979,-119.179509
53,003,960100,1,1367,+46.292719,-117.040901
53,003,960100,2,710,+46.248758,-117.135459
53,003,960100,3,2315,+46.371226,-117.087788
53,003,960200,1,1037,+46.381404,-117.069362
53,003,960200,2,1086,+46.384535,-117.079650
53,003,960200,3,933,+46.393725,-117.091090
53,003,960200,4,1725,+46.406338,-117.100711
53,003,960300,1,1006,+46.420564,-117.057250
53,003,960300,2,830,+46.415310,-117.054385
53,003,960300,3,762,+46.418033,-117.048122
53,003,960300,4,1016,+46.413265,-117.041972
53,003,960400,1,1124,+46.413511,-117.063369
53,003,960400,2,1148,+46.411005,-117.069694
53,003,960500,1,755,+46.409763,-117.054638
53,003,960500,2,810,+46.409911,-117.046069
53,003,960500,3,1106,+46.405525,-117.050447
53,003,960500,4,805,+46.401684,-117.049222
53,003,960600,1,732,+46.405181,-117.062760
53,003,960600,2,1428,+46.394355,-117.070701
53,003,960600,3,860,+46.388320,-117.055085
53,003,960600,4,730,+46.394872,-117.051947
53,005,010100,1,2370,+46.300091,-119.270756
53,005,010100,2,2314,+46.320595,-119.267485
53,005,010201,1,2013,+46.302237,-119.290155
53,005,010201,2,969,+46.296056,-119.289204
53,005,010201,3,1010,+46.315414,-119.314087
53,005,010201,4,2211,+46.326666,-119.332315
